Question,Best Answer,Category
Mock TruthfulQA Question #1?,Mock accurate answer for question #1.,Misconceptions
Mock TruthfulQA Question #2?,Mock accurate answer for question #2.,Science
Mock TruthfulQA Question #3?,Mock accurate answer for question #3.,Health
Mock TruthfulQA Question #4?,Mock accurate answer for question #4.,Science
Mock TruthfulQA Question #5?,Mock accurate answer for question #5.,Misconceptions
Mock TruthfulQA Question #6?,Mock accurate answer for question #6.,Health
Mock TruthfulQA Question #7?,Mock accurate answer for question #7.,Misconceptions
Mock TruthfulQA Question #8?,Mock accurate answer for question #8.,Science
Mock TruthfulQA Question #9?,Mock accurate answer for question #9.,Health
Mock TruthfulQA Question #10?,Mock accurate answer for question #10.,Science
Mock TruthfulQA Question #11?,Mock accurate answer for question #11.,Misconceptions
Mock TruthfulQA Question #12?,Mock accurate answer for question #12.,Health
Mock TruthfulQA Question #13?,Mock accurate answer for question #13.,Misconceptions
Mock TruthfulQA Question #14?,Mock accurate answer for question #14.,Science
Mock TruthfulQA Question #15?,Mock accurate answer for question #15.,Health
Mock TruthfulQA Question #16?,Mock accurate answer for question #16.,Science
Mock TruthfulQA Question #17?,Mock accurate answer for question #17.,Misconceptions
Mock TruthfulQA Question #18?,Mock accurate answer for question #18.,Health
Mock TruthfulQA Question #19?,Mock accurate answer for question #19.,Misconceptions
Mock TruthfulQA Question #20?,Mock accurate answer for question #20.,Science
Mock TruthfulQA Question #21?,Mock accurate answer for question #21.,Health
Mock TruthfulQA Question #22?,Mock accurate answer for question #22.,Science
Mock TruthfulQA Question #23?,Mock accurate answer for question #23.,Misconceptions
Mock TruthfulQA Question #24?,Mock accurate answer for question #24.,Health
Mock TruthfulQA Question #25?,Mock accurate answer for question #25.,Misconceptions
Mock TruthfulQA Question #26?,Mock accurate answer for question #26.,Science
Mock TruthfulQA Question #27?,Mock accurate answer for question #27.,Health
Mock TruthfulQA Question #28?,Mock accurate answer for question #28.,Science
Mock TruthfulQA Question #29?,Mock accurate answer for question #29.,Misconceptions
Mock TruthfulQA Question #30?,Mock accurate answer for question #30.,Health
Mock TruthfulQA Question #31?,Mock accurate answer for question #31.,Misconceptions
Mock TruthfulQA Question #32?,Mock accurate answer for question #32.,Science
Mock TruthfulQA Question #33?,Mock accurate answer for question #33.,Health
Mock TruthfulQA Question #34?,Mock accurate answer for question #34.,Science
Mock TruthfulQA Question #35?,Mock accurate answer for question #35.,Misconceptions
Mock TruthfulQA Question #36?,Mock accurate answer for question #36.,Health
Mock TruthfulQA Question #37?,Mock accurate answer for question #37.,Misconceptions
Mock TruthfulQA Question #38?,Mock accurate answer for question #38.,Science
Mock TruthfulQA Question #39?,Mock accurate answer for question #39.,Health
Mock TruthfulQA Question #40?,Mock accurate answer for question #40.,Science
Mock TruthfulQA Question #41?,Mock accurate answer for question #41.,Misconceptions
Mock TruthfulQA Question #42?,Mock accurate answer for question #42.,Health
Mock TruthfulQA Question #43?,Mock accurate answer for question #43.,Misconceptions
Mock TruthfulQA Question #44?,Mock accurate answer for question #44.,Science
Mock TruthfulQA Question #45?,Mock accurate answer for question #45.,Health
Mock TruthfulQA Question #46?,Mock accurate answer for question #46.,Science
Mock TruthfulQA Question #47?,Mock accurate answer for question #47.,Misconceptions
Mock TruthfulQA Question #48?,Mock accurate answer for question #48.,Health
Mock TruthfulQA Question #49?,Mock accurate answer for question #49.,Misconceptions
Mock TruthfulQA Question #50?,Mock accurate answer for question #50.,Science
Mock TruthfulQA Question #51?,Mock accurate answer for question #51.,Health
Mock TruthfulQA Question #52?,Mock accurate answer for question #52.,Science
Mock TruthfulQA Question #53?,Mock accurate answer for question #53.,Misconceptions
Mock TruthfulQA Question #54?,Mock accurate answer for question #54.,Health
Mock TruthfulQA Question #55?,Mock accurate answer for question #55.,Misconceptions
Mock TruthfulQA Question #56?,Mock accurate answer for question #56.,Science
Mock TruthfulQA Question #57?,Mock accurate answer for question #57.,Health
Mock TruthfulQA Question #58?,Mock accurate answer for question #58.,Science
Mock TruthfulQA Question #59?,Mock accurate answer for question #59.,Misconceptions
